url,gia_ban,dien_tich_m2,quan_huyen,loai_hinh,nguon_du_lieu
https://nhadat.cafeland.vn/ban-nha-rieng-nha-pho-thuong-mai-tai-the-sun-avenue-dt-120m2-ham-5-tang-gia-39-3169775.html,39500.0,120.0,Quận 2,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-can-ho-chung-cu-homyland-1-116m2-3pn-2wc-q2-hcm-3169720.html,6500.0,116.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-cc-centana-thu-thiem-gia-chi-43-ty-75m2-2pn-2wc-co-3169870.html,4300.0,75.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-ban-can-ho-an-phu-an-khanh-88m2-gia-52-ty-2pn-gia-hoi-thi-3169877.html,5200.0,88.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-60m2-full-tho-cu-gia-287-ty-shr-tai-phuong-10-qu-3169810.html,2870.0,60.0,Quận Gò Vấp,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ngang-45m-dai-15m-xay-5-tang-8ty-ngay-nga-tu-lac-long-quan-3169824.html,8200.0,68.0,Quận 10,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-50m2-chi-nhinh-4-toi-gan-kinh-duong-vuong-an-lac-hx-3171121.html,4400.0,57.0,Quận 1,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-kho-nha-xuong-ban-nen-biet-thu-2-mat-tien-truoc-sau-duong-51-du-an-phu-nhu-3169708.html,17500.0,175.0,Quận 2,Biệt thự,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-45m2-co-san-45-m2-tho-cu-gia-3-ty-tai-duong-le-van-3166510.html,3000.0,45.0,Quận Gò Vấp,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nha-tran-huu-trang-nguyen-van-troi-3-tang-66m2-ngang-5m-3166479.html,7600.0,66.0,Quận 1,Nhà riêng,cafeland
https://nhadat.cafeland.vn/can-ho-canh-aeonmall-binh-duong-2pn-2wc-ban-giao-full-noi-that-don-vo-o-ngay-2463940.html,2160.0,60.0,Quận 1,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-co-san-656-m2-tho-cu-gia-388-ty-tai-phuong-13-q-3166405.html,3880.0,65.6,Quận 6,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-chu-gui-ban-dt-80m2-co-san-80-m2-tho-cu-gia-2ty940tr-shr-tai-ph-3166404.html,2940.0,80.0,Quận 6,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nha-truc-dt743a-ngang-55m-hem-xe-hoi-gia-chi-hon-2-ty-3166376.html,2970.0,77.0,TP. Thủ Đức,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-can-ho-50m2-the-western-capital-quan-6-gia-tot-phap-ly-ro-3169624.html,1000.0,48.54,Quận 6,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-698m2-co-san-698-m2-tho-cu-gia-45-ty-tai-phuon-3169634.html,4500.0,69.8,Quận 8,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-chinh-chu-ban-can-ho-parcspring-block-a-88m2-3pn-gia-57-ty-3167670.html,5700.0,88.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-can-ho-khang-gia-chua-ra-so-92m-3pn2wc-gia-2590-ty-2812347.html,2590.0,92.0,Quận Gò Vấp,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-hem-781a3-le-hong-phong-p12-q10-3173958.html,39900.0,120.0,Quận 10,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-kho-nha-xuong-can-ban-lo-dat-mat-tien-duong-42-phuong-binh-trung-dong-q2-3173934.html,17500.0,203.0,Quận 2,Khác,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-nha-mat-tien-ngang-lon-9m-khu-ten-lua-kinh-doanh-dinh-da-nganh-3174448.html,8200.0,108.0,Quận Bình Tân,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-can-ho-chung-cu-can-ho-homyland-2pn-85m2-46-ty-day-du-noi-that-0937-576-3171477.html,4600.0,85.0,Quận 2,Căn hộ,cafeland
https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-rieng-71m2-co-san-172-m2-tho-cu-gia-37-ty-tai-chon-p-3166344.html,3700.0,71.0,Quận Tân Phú,Nhà riêng,cafeland
https://nhadat.cafeland.vn/ban-dat-tho-cu-ban-dat-803m2-co-san-803-m2-tho-cu-gia-38-ty-tai-duong-nguyen-3161070.html,3800.0,80.3,Quận 8,Đất,cafeland
https://nhadat.cafeland.vn/ban-dat-tho-cu-dat-full-tho-cu-khu-do-thi-the-star-village-813m2-5m16-3161067.html,2900.0,81.3,Huyện Nhà Bè,Biệt thự,cafeland
https://nhadat.cafeland.vn/ban-dat-tho-cu-dat-full-tho-cu-khu-do-thi-the-star-village-5m165m-nha-3161068.html,3600.0,82.5,Huyện Nhà Bè,Biệt thự,cafeland
