gia_ban,log_gia_ban,dien_tich_m2,log_dien_tich,quan_huyen,phuong,ten_duong,loai_hinh,so_phong_ngu,so_tang,so_wc,mat_tien_m,rong_hem_m,mat_do_xay,la_hem,la_mat_tien,co_so_hong,co_noi_that,oto_vao,gan_truong_cho,chinh_chu,co_tt_phong_ngu,co_tt_mat_tien,nguon_du_lieu,tieu_de_sach,mo_ta_sach,url
7000.0,8.85366542803745,74.8,4.314817884980432,Quận 2,Khong_ro,Khong_ro,Căn hộ,2.0,1.0,2.0,-1.0,-1.0,74.8,0,0,0,1,0,0,0,1,0,cafeland,Bán căn hộ 2PN 2WC  <SO>  full NT The Sun Avenue ngay trung tâm quận 2 chỉ  <SO> ,"Căn hộ chung cư tại The Sun Avenue, Mai Chí Thọ, An Phú, Quận 2, Hồ Chí Minh đang chờ chủ mới. Với diện tích  <SO>  gồm 2PN + 2WC phù hợp cho những ai yêu thích không gian rộng rãi và thoải mái. - Giá chỉ  <SO>  VND - Nội thất đầy đủ, bao gồm sofa, tủ lạnh, máy giặt, bếp và bàn ăn - Pháp lý đang ra sổ Thừa hưởng tất cả các tiện ích cao cấp của quận 2 và gần trung tâm TP.HCM rất thuận tiện cho cuộc sống hàng ngày. Liên hệ ngay 0966755844 xem nhà thực tế",https://nhadat.cafeland.vn/ban-can-ho-2pn-2wc-748m2-full-nt-the-sun-avenue-ngay-trung-tam-quan-2-chi-7-ty-2272748.html
6980.0,8.850804195756417,100.0,4.605170185988092,Quận 6,An Lạc,Khong_ro,Nhà riêng,4.0,3.0,4.0,-1.0,-1.0,300.0,1,0,1,1,1,0,1,1,0,cafeland,Bán nhà riêng: Bán nhà  <SO> -  <SO>  tại Vo Văn Kiệt -P. An Lạc Quận Bình Tân T,"Bán nhà riêng An Lạc, TP. Hồ Chí Minh HẠ GIÁ GẤP – CHỈ  <SO>  | NHÀ 5x20M – HẺM XE HƠI THÔNG – FULL NỘI THẤT Diện tích đẹp 5 x 20m ( <SO> ) Kết cấu 3 tầng đúc BTCT, gồm 4PN + 4 WC, phòng khách rộng, bếp, phòng thờ, sân phơi và nhà để xe. Tặng toàn bộ nội thất giá trị: ️ 3 máy lạnh ️ Tivi AI LG ️ Tủ lạnh LG Side by Side Hẻm xe hơi thông, kết nối nhanh Võ Văn Kiệt – Khu Tên Lửa, chỉ khoảng 5 phút đến Quận 6, Quận 5, thuận tiện ở hoặc đầu tư. Sổ hồng riêng, đang hoàn tất hoàn công để cấp sổ mới, hỗ trợ vay ngân hàng. Giá mới chỉ:  <SO>  (còn thương lượng) IB ngay Nhà Đất Thanh Bình để xem nhà trực tiếp và làm việc chính chủ! Giá : 6.980.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-100m2-698-ty-tai-vo-van-kiet-p-an-lac-quan-binh-tan-t-3169968.html
8900.0,9.093806555720231,90.0,4.499809670330265,Quận 6,Khong_ro,Đang Mở Rộng,Nhà riêng,5.0,3.0,5.0,5.0,-1.0,270.0,0,1,1,0,0,0,0,1,1,cafeland,"Bán nhà riêng: Bán nhà mặt tiền đường Nhánh An Dương Vương Bình Tân  <SO>  giá 8,9","Bán nhà riêng An Lạc, TP. Hồ Chí Minh Bán nhà mặt tiền đường Nhánh An Dương Vương Bình Tân  <SO>  giá  <SO>  Kết cấu: Số tầng: 4 (gồm 1 trệt, 3 lầu, ban công, sân thượng …) đúc BTCT chắc chắn, có PK, bếp, 5PN, 5WC ... khách mua về vào ở ngay hoặc kinh doanh sầm uất ... - Nhà mặt tiền đường đang mở rộng, là trục chính nối Kinh Dương Vương và Q6 - Diện tích:  <SO>  (ngang 5m, dài 18m) Pháp lý: sổ hồng riêng. Công chứng ngay. Giá chỉ:  <SO> . ️ Gọi ngay Thanh Bình để được hỗ giữa xem nhà trong ngày và luôn ngoài giờ hành chính.. Giá : 8.900.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-mat-tien-duong-nhanh-an-duong-vuong-binh-tan-90m2-gia-89-3169979.html
5200.0,8.556413904569519,43.0,3.7612001156935624,Quận Bình Tân,Khong_ro,Khong_ro,Nhà riêng,4.0,2.0,3.0,6.5,-1.0,86.0,1,1,1,0,1,0,0,1,1,cafeland,Bán nhà riêng: KHU VIP TÊN LỬA – NHÀ NGANG 6.5M – XE HƠI ĐỖ CỬA – CHỈ CẦN XÁCH,"Bán nhà riêng An Lạc, TP. Hồ Chí Minh Hàng hiếm khu VIP Tên Lửa – Nhà đẹp, pháp lý chuẩn, vào ở ngay! Điểm nổi bật: 1 trệt 2 lầu, đúc BTCT kiên cố. 4 phòng ngủ – 3 WC, phòng khách rộng, phù hợp gia đình nhiều thế hệ. Nhà còn mới, không tốn chi phí sửa chữa. Diện tích đất  <SO> , diện tích sử dụng  <SO> . Ngang hiếm 6,5m – không gian cực thoáng. Hẻm rộng 4,5m, hẻm thông, chỉ cách mặt tiền 20m, xe hơi đỗ ngay cửa. Vị trí đắc địa khu Tên Lửa Gần Aeon Mall Bình Tân, nhà thờ Phao-lô. Sổ hồng riêng – Hoàn công đầy đủ – Công chứng sang tên nhanh. Một căn nhà tốt không chỉ để ở, mà còn là tài sản giữ giá theo thời gian. Những căn ngang lớn, vị trí đẹp, pháp lý rõ ràng tại khu Tên Lửa luôn được nhiều khách săn tìm. Gọi ngay – Thanh Bình để xem nhà thực tế. Xem sớm sẽ có nhiều cơ hội thương lượng hơn với chủ nhà! Giá : 5.200.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-khu-vip-ten-lua-nha-ngang-65m-xe-hoi-do-cua-chi-can-xach-3169974.html
5800.0,8.66561319653451,60.0,4.0943445622221,Quận Bình Tân,An Lạc Tp,Khong_ro,Nhà riêng,3.0,3.0,3.0,5.0,-1.0,180.0,0,0,1,0,0,0,0,1,1,cafeland,Bán nhà riêng: Bán Nhà Mới  <SO>  giá  <SO>  tại Kinh Dương Vương P. An Lạc TP. H,"Bán nhà riêng An Lạc, TP. Hồ Chí Minh Bán Nhà Mới 3 Tầng Sân Thượng –  <SO>  – Ngang 5m – Gần AEON Mall Bình Tân Nhà mới hoàn thiện – Dọn vào ở ngay – Vị trí thuận tiện! Diện tích:  <SO>  (5m x 12m), vuông vức. Kết cấu: 3 tầng + sân thượng, gồm 3 phòng ngủ, 3 WC, phòng khách và bếp rộng rãi, thiết kế hiện đại, tối ưu công năng. Vị trí: Đường nhánh Kinh Dương Vương, liền kề khu Tên Lửa, chỉ khoảng 6 phút đến AEON Mall Bình Tân, kết nối nhanh Võ Văn Kiệt, Bến Xe Miền Tây và các quận trung tâm. Pháp lý: Sổ hồng riêng, hoàn công đầy đủ, công chứng sang tên nhanh chóng. Liên hệ Nhà Đất Thanh Bình để xem nhà thực tế và làm việc trực tiếp với chủ. Giá : 5.800.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-ban-nha-moi-60-m2-gia-58-ty-tai-kinh-duong-vuong-p-an-lac-tp-h-3169973.html
7200.0,8.881836305004146,54.0,3.9889840465642745,Quận 6,Khong_ro,Khong_ro,Nhà riêng,4.0,2.0,4.0,-1.0,-1.0,108.0,1,1,1,0,1,1,0,1,0,cafeland,"Bán nhà riêng: Sợ mua nhà hẻm nhỏ, xe khó vào? Nhà mặt tiền rộng, ô tô tới cửa n","Bán nhà riêng An Lạc, TP. Hồ Chí Minh Căn nhà này sẽ giúp bạn giải quyết tất cả! Nhà còn mới – dọn vào ở ngay Diện tích  <SO> , 4 x 14. Kết cấu 1 trệt – 2 lầu sân thượng, 4PN – 4WC. Sổ hồng riêng, hoàn công đầy đủ, công chứng nhanh. Ngay Khu Tên Lửa sát Q.6 Gần chợ, trường học, siêu thị, đầy đủ tiện ích. G.iá chỉ 7.2 T.ỷ – Cơ hội hiếm tại trung tâm Quận Bình Tân Quan tâm inbox ngay để xem nhà thực tế. Nhà đẹp, giá tốt sẽ không chờ lâu! ️ Liên hệ ngay Thanh Bình... Giá : 7.200.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-so-mua-nha-hem-nho-xe-kho-vao-nha-mat-tien-rong-o-to-toi-cua-n-3169975.html
5350.0,8.584851839890053,46.0,3.828641396489095,Quận 6,Khong_ro,Khong_ro,Nhà riêng,3.0,1.0,3.0,-1.0,-1.0,46.0,1,0,1,1,0,1,0,1,0,cafeland,"Bán nhà riêng: ""Đừng để  <SO>  mua nhầm nhà cũ! Căn nhà mới đẹp, tặng full nội","Bán nhà riêng An Lạc, TP. Hồ Chí Minh Căn nhà này sẽ giúp bạn giải quyết tất cả! Nhà mới đẹp – dọn vào ở ngay Diện tích  <SO> , nở hậu 8.5m cực hiếm. Kết cấu 1 trệt – 1 lửng – 1 lầu, 3 PN – 3 WC. Tặng full nội thất, chỉ cần xách vali vào ở. Sổ hồng riêng, hoàn công đầy đủ, công chứng nhanh. Hẻm an ninh ngay khu Tên Lửa thông ra Phố Ẩm Thực Phú Lâm, vài bước ra đường lớn. Gần chợ, trường học, siêu thị, đầy đủ tiện ích. G.iá chỉ 5,35 T.ỷ – Cơ hội hiếm tại trung tâm Bình Tân sát Quận 6. Quan tâm inbox ngay để xem nhà thực tế. Nhà đẹp, giá tốt sẽ không chờ lâu! ️ Liên hệ ngay Thanh Bình... Giá : 5.350.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-dung-de-535-ty-mua-nham-nha-cu-can-nha-moi-dep-tang-full-noi-3169984.html
7350.0,8.902455592206882,80.0,4.382026634673881,Quận 6,An Lạc,Lê Cơ Phường An Lạc,Nhà riêng,4.0,5.0,4.0,-1.0,8.0,400.0,1,0,1,0,1,0,1,1,0,cafeland,Bán nhà riêng: Khu dân trí cao An Lạc – Nhà 5 tầng hẻm ô tô 8m thông – Chuẩn sốn,"Bán nhà riêng An Lạc, TP. Hồ Chí Minh SIÊU PHẨM NHÀ 5 TẦNG – HẺM XE HƠI 8M THÔNG – KHU DÂN TRÍ CAO PHƯỜNG AN LẠC – CHỈ  <SO>  ️ Vị trí đắc địa đường Lê Cơ phường An Lạc, quận Bình Tân. Kết nối nhanh đến đại lộ Võ Văn Kiệt, Kinh Dương Vương, giáp Quận 6, thuận tiện di chuyển vào trung tâm thành phố. Thông tin nổi bật: Diện tích:  <SO>  (4m x 20m) Kết cấu: 1 trệt, 1 lửng, 3 lầu Gồm 4 phòng ngủ, 4 WC Ban công rộng, sân thượng trước sau thoáng mát Có thể cải tạo thêm phòng ngủ theo nhu cầu Hẻm trước nhà rộng 6m, xe hơi ra vào thoải mái, hẻm thông Khu dân cư hiện hữu, hàng xóm văn minh, xung quanh toàn nhà cao tầng, an ninh và yên tĩnh. Pháp lý chuẩn chỉnh: Sổ hồng riêng Hoàn công đầy đủ Công chứng nhanh Giá bán:  <SO>  (thương lượng trực tiếp chủ nhà) ️ Liên hệ ngay: Thanh Bình để xem nhà thực tế và làm việc chính chủ. Giá : 7.350.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-nha-rieng-khu-dan-tri-cao-an-lac-nha-5-tang-hem-o-to-8m-thong-chuan-son-3169959.html
8900.0,9.093806555720231,78.0,4.356708826689592,Quận 2,Khong_ro,Khong_ro,Căn hộ,2.0,8.0,2.0,-1.0,-1.0,624.0,0,0,0,0,0,0,0,1,0,cafeland,"Bán căn hộ chung cư: Căn 2pn diện tích lớn tháp a1 masteri park place  <SO> , v","Bán căn hộ chung cư An Phú, TP. Hồ Chí Minh * Căn 2 PN 2WC: Tháp A1 cao 24 tầng - tầng 08. - Diện tích:  <SO> . - Hướng view: Trực diện sông Rạch Chiếc - công viên ven sông. Kênh đào nhạc nước - sông - Biệt thự vườn, bến du thuyền,... Giá chỉ:  <SO>  - TT sớm, chưa VAT. Vị trí vàng: Nằm ngay trung tâm đại đô thị The Global City 117,4ha. CT5 - chính thức ra mắt, ưu đãi 3%. + 3 Offer thanh toán, đóng giãn 2 năm, hoặc 3 năm. Chiết khấu ưu tiên: 12% - 6,5%. Chiết khấu sớm thêm 3%. + Hỗ trợ lãi suất đến 31/10/2028. * Tổng chiết khấu đến 15% cao nhất cho khách hàng. Phát triển bởi: Masterise Homes thương hiệu bất động sản cao cấp được nhiều khách hàng quan tâm. * CT5 - sở hữu vị trí vàng, đối diện TTTM  <SO> , The Global City. * Tiện ích chuẩn resort: Hồ bơi điện phân muối, Sky Garden, kính Low - E 3 lớp, sảnh đón cao 7m sang trọng. * Kênh đào Nhạc nước lớn nhất. * Khu đô thị all in one, lõi trung tâm TP. HCM, Khu An Phú, quận 2. * 2PN (2 phòng ngủ). Diện tích:  <SO> . Tham quan chi tiết hơn tại The Global City & sa bàn thực tế dự án. Báo giá chi tiết căn - tìm căn theo yêu cầu nổi bật: Mr Nhựt: (Zalo /call me). Xem thêm Giá : 8.900.000.000 VND Diện tích:  <SO> ",https://nhadat.cafeland.vn/ban-can-ho-chung-cu-can-2pn-dien-tich-lon-thap-a1-masteri-park-place-8902ty-v-3169881.html
14500.0,9.581903928408666,77.0,4.343805421853684,Quận Gò Vấp,6,Khong_ro,Nhà riêng,5.0,5.0,7.0,-1.0,-1.0,385.0,1,0,0,1,1,0,0,1,0,cafeland,GIÁ  <SO>  - SIÊU PHẨM 5 TẦNG – FULL NỘI THẤT – HXH 496 DƯƠNG QUẢNG HÀM GÒ VẤP,"SIÊU PHẨM 5 TẦNG – FULL NỘI THẤT – HXH 496 DƯƠNG QUẢNG HÀM, P.6, GÒ VẤP Giá:  <SO>  – còn thương lượng Nhà mới, thiết kế hiện đại, đầy đủ công năng: Diện tích: 4,8m x 16,3m, công nhận  <SO> . Kết cấu: 1 trệt + lửng + 3 lầu + sân thượng. Gồm 1 phòng khách, 1 bếp, 5 phòng ngủ, 7 WC, phòng thờ. 2 sân thượng trước sau, 2 giếng trời thoáng sáng. Thang máy kính, full nội thất, dọn vào ở ngay. Hẻm xe hơi, vị trí đẹp trên Dương Quảng Hàm, P.6, Gò Vấp. Liên hệ Hải Ninh 0878 797 788 xem nhà – làm việc trực tiếp, giá còn thương lượng!",https://nhadat.cafeland.vn/gia-145-ty-sieu-pham-5-tang-full-noi-that-hxh-496-duong-quang-ham-go-vap-3169893.html
